region,total_work_region,men,women,germans,foreigners,15_to_25_years,25_to_55_years,55_to_65_years,without_professional_qualification,with_professional_qualification,with_academic_degree,total_home_region
"Ingolstadt, Stadt",4896.903812824957,5356.58,3349.7914979757084,5132.559800664452,2688.657894736842,2798.5978260869565,5136.448905109489,5057.4078947368425,2349.25,4593.238970588235,> 6.500,4137.069579288026
"München, Landeshauptstadt",4306.955011911306,4816.863454618153,3758.7231538213478,4626.472037283622,3150.595907928389,2632.1901408450703,4413.744266778876,4713.061983471074,2786.046875,3769.9420477423064,5738.1004592422505,4139.700281425891
"Rosenheim, Stadt",3371.1521739130435,3618.3353658536585,3077.43661971831,3552.1932270916336,2455.37012987013,2522.0116279069766,3456.1772908366534,3769.991525423729,2160.5,3302.292828685259,4700.5,3211.9150943396226
Altötting,3638.6736526946106,3949.6071428571427,2939.0922330097087,3782.8469387755104,2795.205882352941,2727.9193548387098,3708.6983805668015,4372.027777777777,2695.03125,3574.322463768116,6386.809523809524,3453.649606299213
Berchtesgadener Land,3012.0338164251207,3242.814189189189,2533.1704545454545,3132.1473988439307,2451.7626262626263,2434.6666666666665,3070.330508474576,3239.346153846154,2378,3057.6428571428573,4491.125,3025.9364089775563
Bad Tölz-Wolfratshausen,3170.62012012012,3362.64859437751,2817.2241379310344,3375.3407643312103,2432.1666666666665,2517.623287671233,3237.640287769784,3502.554794520548,2413,3187.496336996337,4949.538461538462,3428.4131355932204
Dachau,3159.9418052256533,3272.173387096774,2938.1623376623374,3423.7680722891564,2521.439086294416,2494.4285714285716,3223.214285714286,3517.310344827586,2452.285714285714,3222.185082872928,5086.863636363636,3823.0510204081634
Ebersberg,3199.713075060533,3341.6870503597124,2934.8548387096776,3435.3856209150326,2525.5,2502.1233766233768,3263.645896656535,3570.03125,2448.969387755102,3221.0607476635514,4858.108695652174,3850.687969924812
Eichstätt,3324.79718875502,3528.8333333333335,2843.5989583333335,3457.9324324324325,2710.169811320755,2636.6979166666665,3451.7698412698414,3328.895061728395,2654.313559322034,3217.340731070496,4878.530303030303,4119.161971830986
Erding,3029.6071428571427,3116.268194070081,2821.0202312138726,3244.565934065934,2349.256906077348,2438.4518072289156,3084.8400447427293,3321.390410958904,2256.0555555555557,3114.7701525054467,4875.5,3580.5
Freising,3537.406584992343,3768.9729064039407,3106.172268907563,3831.244680851064,2650.3220640569393,2485.6485148514853,3621.9527027027025,3897.027777777778,2793.1136363636365,3424.9186046511627,5407.940476190476,3549.4774330042314
Fürstenfeldbruck,3257.3897637795276,3382.5175438596493,3017.6641791044776,3472.771573604061,2592.695767195767,2480.396907216495,3323.7954545454545,3528.6976744186045,2478.625,3231.75,4992.713114754099,3769.931818181818
Garmisch-Partenkirchen,2935.483498349835,3043.2419354838707,2760.5,3100.098393574297,2176.474025974026,2402.6186440677966,2986.316326530612,3204.8478260869565,2217.1666666666665,2961.9840989399295,4656.181818181818,3073.2868852459014
Landsberg am Lech,3393.9146341463415,3564.8835616438355,3033.0688073394494,3525.5,2554.365979381443,2600.5,3500.05035971223,3526.7295081967213,2518.2631578947367,3334.103896103896,4930.892156862745,3662.3055555555557
